"TIV of arms exports to all, 1950-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 16 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
,Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
,Costa Rica,,,,,,3,0,,,,,,,1,,,0,,,,,,,2,,3,,,6,2,1,,,,0,2,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,1,,1,27
,Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,19,2,7,17,1,,18,,,22,16,38,59,20,,,10,,,,,2,,,0,,,2,,0,,2,0,,32,62,9,,,,,,,,,,11,360
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,27,53,1,15,31,,,,62,2,24,8,,,15,99,4,10,17,17,,63,475
,Cuba,,9,0,0,3,13,35,8,23,10,127,526,1276,290,246,130,232,162,155,155,155,162,462,430,418,200,317,615,509,410,347,976,978,775,417,352,281,73,167,94,169,159,,,,,,,,,,,,,,,,,,,,,,,,11863
,Cyprus,,,,,,,,,,,,,,,15,22,,,,,,,,1,,,,,,,,,5,19,25,32,38,33,134,29,68,79,26,10,39,33,170,98,7,113,4,115,1,6,16,20,26,17,,,44,41,6,,,1290
,Czechoslovakia,96,409,783,955,1252,1267,468,152,561,839,533,666,546,584,578,702,695,759,874,851,748,1123,978,1080,1110,852,215,301,561,498,468,857,932,829,920,1158,802,660,752,1029,132,57,,,,,,,,,,,,,,,,,,,,,,,,29630
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,6,0,1,14,65,47,97,7,593,47,13,23,6,13,71,14,8,,1049
,Denmark,96,72,361,652,168,157,155,154,97,250,109,312,57,133,482,449,66,72,71,19,312,362,111,,39,149,360,372,367,57,574,572,564,231,72,92,16,99,98,182,121,148,61,56,85,133,71,77,116,68,53,156,51,54,228,119,83,148,95,129,17,,105,42,177,10953
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,33,5,2,3,3,,1,8,1,,,,1,19,5,,3,,,,,1,,3,,4,7,,,,,,,6,8,10,132
,Dominican Republic,2,12,44,21,2,6,6,1,17,4,19,11,0,7,5,10,9,2,1,0,1,2,7,0,,2,12,,,,9,5,32,,25,3,0,,3,,,,,,,,4,,6,1,13,5,0,8,35,2,,,,10,51,12,,,,430
,DR Congo,,,,,,,,,,,2,9,13,31,87,28,11,,,28,19,155,15,5,11,391,132,31,38,15,10,12,15,5,16,1,1,36,1,,4,,2,,,0,68,6,10,46,88,18,14,,,19,17,,18,41,151,,10,1,,1632
,East Germany (GDR),29,,170,87,10,,664,1122,1071,485,313,237,904,937,1162,1023,1522,913,997,1177,1310,1037,888,493,428,575,1296,1078,1079,912,914,778,1100,950,1106,1363,649,357,594,697,399,,,,,,,,,,,,,,,,,,,,,,,,,30826
,Ecuador,,,,11,14,124,6,,13,,66,,,3,3,32,,14,5,1,5,81,35,15,25,43,226,574,191,109,257,123,266,417,369,23,25,40,26,20,3,139,4,18,9,40,30,95,27,17,,10,1,,15,48,17,2,102,77,90,68,88,11,53,4126
,Egypt,163,58,0,1,142,689,1076,479,484,331,141,335,851,785,867,971,1551,2361,1374,1331,1807,1964,3328,2584,1099,571,164,414,125,621,1004,1182,2505,1732,1521,991,1495,1676,440,304,576,935,1023,1205,1974,1713,993,1040,468,513,837,847,722,633,613,726,748,707,336,159,686,630,281,628,292,58802
,El Salvador,1,,,,1,,,17,,,,,,0,,1,1,0,20,8,9,1,,2,29,50,15,8,3,6,12,5,35,12,62,44,5,,,,,21,5,2,,5,5,,2,,,,19,10,,,,,4,,,,2,,20,439
,ENLF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,EPLF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,12,,28,30,68,3,84,65,2,92,409
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,7,41,53,214,31,20,57,18,17,80,98,,4,,,,,,,,680
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,14,4,1,27,,1,14,8,23,7,19,29,43,13,1,2,18,16,277
,Ethiopia,2,19,,6,8,1,1,6,23,6,24,8,21,2,4,14,86,30,33,24,89,54,33,5,16,58,130,1071,983,113,367,365,558,406,360,334,435,326,229,47,3,80,,,,,,69,211,155,140,,20,174,239,,,,,,54,76,193,153,11,7874
,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,1,,3,,6,12,,,,,,,,,,,,,,,,,,,,34
,Finland,,,19,,,11,15,3,25,41,54,65,38,237,77,75,35,76,23,21,15,5,26,13,174,127,90,30,105,47,330,128,145,122,137,212,97,69,143,85,90,62,435,409,251,197,507,397,551,768,474,9,12,227,77,105,134,109,143,43,58,58,76,260,201,8567
,FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3
,FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
,France,218,952,1108,1684,1396,1284,1231,683,1075,846,421,253,129,63,1145,215,76,93,113,101,124,141,93,123,53,45,233,252,285,71,82,113,149,110,68,15,96,84,108,136,60,973,391,91,75,97,64,201,174,110,107,66,43,57,93,2,67,74,5,76,103,34,92,103,20,18642
,FRELIMO (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Gabon,,,,,,,,,,,,3,,,3,0,2,,2,4,1,24,,2,10,35,48,28,80,,26,37,5,11,102,2,7,10,29,10,30,,,,,,,,,,,,,,6,,20,18,,,22,5,1,2,,584
,Gambia,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,5,,,,,16,,,,,,36
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,37,92,97,154,91,35,,2,,5,,664
,Germany (FRG),,,,,,85,1296,2129,2879,1506,2009,1970,2462,3217,3694,3319,3203,1301,993,1262,1393,2575,864,1786,2185,1874,1395,1034,709,67,237,352,529,472,391,89,289,321,430,703,711,705,687,536,405,211,206,61,543,129,113,133,71,64,239,204,416,82,292,339,282,84,164,140,120,55952
,Ghana,,,,,,,,,,1,12,105,20,6,40,40,24,1,,,,,12,8,19,28,34,,18,7,53,50,,,,5,,13,,2,4,1,,,11,,7,5,,7,1,12,1,6,35,0,0,16,,11,2,76,39,63,1,797
,Greece,35,521,314,90,241,329,218,171,453,276,264,80,328,98,631,486,210,370,105,303,302,585,706,247,418,912,1314,991,1280,739,665,948,462,404,364,189,202,36,531,1172,899,475,2132,968,1176,874,382,812,1725,845,708,787,400,2271,1368,405,731,1712,516,1225,648,77,33,52,213,39417
,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Guatemala,,6,,,2,9,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,1,15,52,18,1,1,5,8,47,16,2,7,25,2,0,0,4,0,0,,14,5,5,2,,1,,,,,,,,,,0,,,,2,,,360
,Guinea,,,,,,,,,,17,33,0,,0,0,17,,6,,0,1,4,4,18,24,2,18,8,45,69,,1,1,1,,,40,,,60,1,,,,,,,,4,,18,6,,2,,1,,0,,,4,1,4,,5,416
,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,10,12,,14,24,2,1,,,11,,35,,20,,20,6,,5,,,,,,,,,,,,,,,,,,,,,,181
,GUNT (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Guyana,,,,,,,,,,,,,,,,,,,0,,,2,,,2,0,15,,1,5,4,14,,3,7,23,,,,,,,,,,,,,,,,7,3,,,,,,0,,,,,,,85
,Haiti,4,,3,,,0,6,,,,5,,,,2,,,,,8,,,,2,4,1,1,0,9,,,4,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
,Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Hamas (Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,0,3
,Hezbollah (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,3,0,1,0,9,,,20,20,,,,,68
,Honduras,,1,1,,1,,9,1,20,1,,,14,,,1,6,,,19,,,,1,,31,32,25,29,9,13,27,30,33,25,35,75,12,43,16,,,,,,,,,,,,,,,,,,,0,,,0,0,20,13,542
,Hungary,56,53,13,802,696,218,1,59,204,358,626,575,290,379,747,667,149,294,275,446,22,247,121,402,567,498,378,394,589,485,387,144,142,117,251,229,74,75,35,59,14,22,,928,2,1,156,99,46,72,14,14,,,72,13,253,196,5,4,18,9,,2,7,14065
,Iceland,,,,,,,,,,,20,,,,,,,,27,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,123
,India,140,282,107,436,264,348,366,978,953,855,547,1122,371,647,920,1049,994,1189,1421,1440,1109,1667,1860,1266,1277,1003,1798,2522,1232,1228,1829,2186,2321,2661,2813,3092,4131,3894,3976,3940,2724,1897,1207,732,883,1479,902,1706,798,1216,982,1309,1921,2888,2180,1161,1470,2297,1867,1986,2955,3682,4591,5566,4243,112873
,Indonesia,212,58,14,6,16,25,42,34,612,717,444,895,1077,186,539,338,16,1,1,9,28,94,5,73,73,4,156,60,126,376,903,800,360,230,103,289,432,264,294,248,202,11,52,214,466,282,380,108,89,164,151,27,68,356,79,36,63,578,238,437,225,263,221,805,1200,16870
,Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Iran,4,6,0,1,75,111,121,53,119,96,11,107,110,137,141,182,447,382,895,1237,1182,1697,1378,2015,2827,5142,4466,5559,3743,535,278,487,541,509,478,638,803,833,478,192,454,1022,432,987,452,296,615,178,381,323,418,528,435,282,121,57,423,331,62,62,103,103,47,31,13,46169
,Iraq,,,59,55,19,92,97,4,186,169,167,117,277,201,321,247,340,343,369,407,153,186,629,1870,1439,1100,1134,1083,1816,1230,2101,2429,3088,3317,4556,4132,3392,3473,1912,1482,779,,,,,,,,,,,,,,72,189,305,263,380,402,453,605,476,344,627,48885
,Ireland,2,,,4,,,8,,,1,1,,,2,1,,,,,,7,9,22,3,1,4,3,5,28,31,48,15,,,11,,38,,24,,,11,,,43,,,,3,35,0,44,22,,19,5,13,19,22,0,5,2,1,,40,551
,Israel,53,91,75,112,49,117,641,30,40,218,378,84,261,401,422,437,319,365,910,1320,1113,1336,913,1957,1166,1681,1965,1289,1359,710,1273,1660,869,491,288,310,1181,1080,582,24,84,1227,1313,715,756,363,117,67,1291,1191,368,131,349,246,852,1133,1122,862,676,153,54,65,400,352,184,41641
,Italy,158,235,459,771,308,587,1151,941,417,411,390,414,675,1004,1036,721,393,105,182,435,468,953,1611,874,983,888,709,756,916,768,554,131,251,307,269,206,199,183,182,196,160,192,174,228,203,334,286,519,56,25,241,221,242,557,444,163,434,515,220,109,116,301,257,92,151,28437
,Jamaica,,,,,,,,,,,,,1,1,0,,,2,,,,1,,13,8,4,1,3,4,,,0,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,105
,Japan,,,1,215,305,414,772,1062,1236,683,894,356,228,352,1848,1205,333,575,476,401,483,536,573,530,892,1572,1579,942,1064,961,1043,1317,1432,1683,2040,1965,1879,1928,1976,2246,2654,2915,2487,2119,1006,1222,838,807,1458,1257,483,430,466,476,399,456,507,487,688,533,430,303,273,313,436,61441
,Jordan,0,,0,0,27,34,53,,44,4,28,15,55,39,33,55,92,126,48,238,130,68,66,87,178,330,304,461,586,270,378,404,1086,793,485,299,250,143,247,58,14,24,,1,5,19,76,77,247,64,133,160,121,281,158,36,49,175,160,234,87,214,173,117,166,10305
,Katanga,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,140,139,20,,47,42,44,82,25,39,58,52,84,143,105,1257
,Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0,20,9,3,28,25,13,58,205,56,124,150,92,20,12,6,26,178,,23,42,14,,,30,,,61,,,15,,,,,,,10,,,112,14,60,1,29,1483
,Khmer Rouge (Cambodia)*,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,25
,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6
,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,Kuwait,,,,0,5,1,,,2,,44,,10,34,46,25,8,,104,97,54,111,30,,5,76,230,490,487,198,35,13,175,291,494,591,178,52,6,132,329,516,896,695,40,594,1189,482,51,212,245,67,23,45,2,16,,279,5,9,85,113,31,65,591,10603
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,3,2,,,,,,,,,19
,Laos,,,,,1,2,2,1,10,2,3,4,19,15,7,7,14,14,4,6,32,17,14,43,1,26,21,134,26,,35,54,2,90,26,62,,18,18,,8,,,,,,,49,21,30,7,36,,0,,4,,,7,26,,14,19,19,,965
